Австрия;     Вена;             шопинг, экскурсии;        автобус;        отель 4;                 bed&breakfast;        3;     504;
Албания;     Дуррес;           пляжный отдых, экскурсии; авиаперелет;    отель 3;                 all inclusive;        12;    715;
Албания;     Влера;            пляжный отдых, экскурсии; авиаперелет;    отель 3;                 all inclusive;        11;    728;
Албания;     Саранда;          пляжный отдых, экскурсии; авиаперелет;    отель 3;                 all inclusive;        12;    803;
Бельгия;     Брюссель;         шопинг, экскурсии;        авиаперелет;    отель 4;                 bed&breakfast;        3;     651;
Болгария;    Солнечный берег;  пляжный отдых;            автобус;        отель 3;                 all inclusive;        12;    987;
Болгария;    Солнечный берег;  пляжный отдых;            автобус;        отель 4;                 all inclusive;        12;    995;
Болгария;    Солнечный берег;  пляжный отдых;            автобус;        отель 5;                 all inclusive;        12;    1024;
Болгария;    Солнечный берег;  пляжный отдых;            автобус;        отель 3;                 all inclusive;        12;    899;
Болгария;    Солнечный берег;  пляжный отдых;            авиаперелет;    отель 4;                 all inclusive;        13;    1105;
Болгария;    Солнечный берег;  пляжный отдых;            авиаперелет;    отель 5;                 all inclusive;        13;    1235;
Болгария;    Солнечный берег;  пляжный отдых;            авиаперелет;    отель 3;                 bed&breakfast;        12;    958;
Болгария;    Солнечный берег;  пляжный отдых;            авиаперелет;    отель 5;                 ultra all inclusive;  14;    1502;
Болгария;    Солнечный берег;  пляжный отдых;            авиаперелет;    отель 5;                 ultra all inclusive;  15;    1643;
Болгария;    Солнечный берег;  пляжный отдых;            авиаперелет;    отель 3;                 full board+;          13;    1211;
Болгария;    Солнечный берег;  пляжный отдых;            авиаперелет;    отель 5;                 ultra all inclusive;  14;    1713;
Болгария;    Солнечный берег;  пляжный отдых;            авиаперелет;    отель 5;                 ultra all inclusive;  15;    1833;
Болгария;    Солнечный берег;  лечение;                  авиаперелет;    отель 3;                 full board+;          13;    1115;
Болгария;    Балчик;           пляжный отдых;            авиаперелет;    отель 4;                 full board+;          11;    1094;
Болгария;    Балчик;           пляжный отдых;            авиаперелет;    отель 5;                 full board+;          10;    1244;
Болгария;    Балчик;           пляжный отдых;            авиаперелет;    отель 4;                 all inclusive;        13;    1486;
Венгрия;     Будапешт;         шопинг, экскурсии;        автобус;        отель 4;                 bed&breakfast;        3;     515;
Германия;    Берлин;           шопинг, экскурсии;        автобус;        отель 4;                 bed&breakfast;        3;     576;
Греция;      Ираклион;         пляжный отдых;            авиаперелет;    отель 4;                 all inclusive;        13;    1223;
Греция;      Ираклион;         пляжный отдых;            авиаперелет;    отель 4;                 all inclusive;        11;    1131;
Греция;      Ираклион-Ницца;   круиз;                    авиаперелет;    лайнер класса стандарт;   all inclusive;        10;    2445;
Грузия;      Тбилиси;          экскурсии;                авиаперелет;    отель 3;                 bed&breakfast;        4;     783;
Грузия;      Батуми;           пляжный отдых;            авиаперелет;    отель 3;                 all inclusive;        10;    1088;
Грузия;      Батуми;           пляжный отдых;            авиаперелет;    отель 4;                 all inclusive;        11;    1134;
Грузия;      Батуми;           пляжный отдых;            авиаперелет;    отель 4;                 full board+;          12;    1047;
Египет;      Шарм-Эль-Шейх;    пляжный отдых;            авиаперелет;    отель 4;                 all inclusive;        10;    1833;
Египет;      Шарм-Эль-Шейх;    пляжный отдых;            авиаперелет;    отель 4;                 ultra all inclusive;  13;    2350;
Египет;      Шарм-Эль-Шейх;    пляжный отдых;            авиаперелет;    отель 5;                 ultra all inclusive;  14;    2440;
